stopId,stopName
279,GrannyD's
280,American Auto Insurance
281,Jon Uman Attorney
282,Greater Bethel African Methodist Episcopal Church
283,Southbound NW 6th Street @ NW 5th Avenue
284,Santa Fe College Charles L. Blount Center
285,Santa Fe CIED
286,The 400
287,Wells Fargo @ NW 1st Avenue
288,Alachua County Courthouse
289,St Francis House
290,St Francis House
291,Eastbound SE Depot Avenue @ SE 7th Street
292,The Cotton Club
293,Mt Moriah Baptist Church
294,Tools for Schools
295,Williams Elementary School
296,Williams Elementary School Field
297,Eastbound SE 7th Avenue @ SE 15th Street
298,GRU Bank
299,GRU Bank
300,Fast Eddie's Restaurant
301,Eastbound University Avenue @ SE 15th Street
302,Eastbound University Avenue @ SE 17th Street
303,Alachua County School Board Administration Annex
304,Eastbound University Avenue @ SE 21st Street
305,Eastbound University Avenue @ SE 22nd Street
306,Eastbound University Avenue @ SE 24th Street
307,Southeast Gator Liquor @ Hawthorne Road
308,Eastbound Hawthorne Road @ SE 26th Street
309,Alachua County Sheriff's Office
310,Southbound SE 27th Street @ SE 13th Avenue
311,Southbound SE 27th Street @ SE 15th Avenue
312,Durelle Heights Neighborhood
313,Lana's Place
314,Faith Missionary Church
315,Eastbound SE 21st Avenue @ SE 32nd Terrace
316,SE 35th St @ SE 21st Avenue
317,Northbound SE 35th Street @ SE 20th Avenue
318,Northbound SE 35th Street @ SE 18th Avenue
319,Northbound SE 35th Street @ SE 16th Avenue
320,Kangaroo @ SE 35th Street
321,E Hawthorne Rd @ SE 38th Court
322,E Hawthorne Road @ SE 39th Terrace
323,Chevron Food Mart @ SE 43rd Street
324,Eastside High School
325,The Glades
326,EastWOOD Meadows Community
327,The Verdant Cove
328,Eastside High School
329,Chevron Food Mart @ SE 43rd Street
330,Westbound Hawthorne Road @ SE 39th Street
331,Kangaroo @ SE 35th St
332,Southbound SE 35th Street @ SE 16th Avenue
333,Southbound Se 35th Street @ SE 18th Avenue
334,Southbound SE 35th Street @ SE 20th Avenue
335,Westbound SE 21st Avenue @ SE 32nd Terrace
336,Faith Missionary Church
337,Lana's Place
338,Durelle Heights Neighborhood
339,Northbound SE 27th Street @ SE 15th Avenue
340,Northbound SE 27th Street @ SE 13th Avenue
341,Alachua County Sheriffs Department
342,Alachua County Sheriffs Department
343,Dollar General
344,Dollar General
345,76 Gas Station @ E University Avenue
346,Westbound E University Avenue @ SE 21st Street
347,SE 18th St @ E University Avenue
348,Westbound E University Avenue @ SE 17th Street
349,Westbound E University Avenue @ NE 16th Street
350,Fast Eddie's Restaurant
351,Fast Eddie's Restaurant
352,Fast Eddie's Restaurant
353,Fast Eddie's Restaurant
354,Fast Eddie's Restaurant
355,Fast Eddie's Restaurant
356,Fast Eddie's Restaurant
357,SE 7th Avenue @ SE 10th Terrace
358,The Cotton Club
359,Westbound SE 7th Avenue @ SE 8th Street
360,Norman Field
361,Norman Hall
362,Social 28 Apartments
363,Kangaroo @ SW 13th Street
